phrase	entity	value
срок временного хранения топлива - 5 лет	когда	
тушение пожара длилось около часа	когда	
на этом пленарная неделя закончилась	когда	
встреча продолжалась около часа	когда	
пожар ликвидировали за два часа	когда	
их средний возраст около 7 лет	когда	
объявлены первые нобелевские номинанты года	когда	
здание более полутора лет пустовало	когда	
это убийство оставалось тайной три года	когда	
планируется также утвердить бюджет ассамблеи на год	когда	
начало года будет напряженным	когда	
акции германских компаний дешевели четвертый день подряд	когда	
завод построен за пять месяцев	когда	
санкции введены на год	когда	
заседание продлится два дня	когда	
спецпошлины будут действовать в течение трех лет	когда	
православные отмечают родительскую субботу	когда	
в течение года он оставался внефракционным депутатом	когда	
их показания в суде длились около часов	когда	
вместо этих дней предоставляется дополнительный выходной	когда	
православные отмечают день великомученицы варвары	когда	
выступление замминистра длилось около 15 минут	когда	
история компании насчитывает 89 лет	когда	
на ликвидацию пожара понадобилось менее часа	когда	
радиомост длился час	когда	
симферопольскому аэропорту исполняется 5 лет	когда	
в военной журналистике - 18 лет	когда	
работы должны продлиться несколько недель	когда	
в году предприятие экспортировало 98 автомобилей	когда	
крейсерская скорость - 85 км / час	когда	
фестиваль будет работать в течение двух дней	когда	
британец признан невиновным после 7 лет тюрьмы	когда	
однако , с начала года допущено отставание	когда	
этот процесс займет около полутора лет	когда	
информация обновляется каждые три часа	когда	
продолжительность каждого сеанса - 5 минут	когда	
сооружение монумента займет год	когда	
подобную акцию планируется проводить каждый год	когда	
в повестку дня внесен ряд других вопросов	когда	
поездка продлится несколько часов	когда	
все кредиты выдаются сроком на 3 лет	когда	
встреча длилась два часа вместо запланированного часа	когда	
автобус сгорел в течение часа	когда	
льготный период составляет 3 года	когда	
его спуск занял более девяти часов	когда	
предполагается его построить за три года	когда	
реципиент 6 месяцев ждал донорского сердца	когда	
христиане всего мира отмечают великую пятницу	когда	
правительство одобрило проект государственного бюджета на год	когда	
ранее курс молодого бойца длился месяц	когда	
самому молодому погребенному горняку было 19 лет	когда	
первая неделя поста называется неделей торжества православия	когда	
третья неделя поста посвящена кресту христову	когда	
срок окупаемости проекта - около 5 лет	когда	
это можно сделать за полтора месяца	когда	
планируется осуществлять до шести запусков в год	когда	
ориентировочно , она составит до 8 часов	когда	
реципиенту 41 год	когда	
мощность завода - 35 вагонов в год	когда	
встреча в таком формате продолжалась более часа	когда	
движение состава было задержано на 5 минут	когда	
срок полномочий состава курултая - 5 лет	когда	
ему 45 лет	когда	
группа ученых работала над ним три года	когда	
кредиты предоставляются на срок до 5 лет	когда	
православные отмечают прощеное воскресенье	когда	
оно отвело на вывод войск три дня	когда	
заблудившийся японец провел на горе 17 дней	когда	
операция по захвату заняла несколько секунд	когда	
для каждого часа будет своя мелодия	когда	
деятельность школы рассчитана на 3 года	когда	
их средний возраст составлял всего 7 лет	когда	
хочу поздравить выпуск 1999 года	когда	
они разговаривали 15 минут	когда	
она продолжалась около 9 минут	когда	
проект рассчитан на 3 года	когда	
результаты проб от 3 марта еще обрабатываются	когда	
срок окупаемости проекта - 9 года	когда	
юморина продлится еще несколько дней	когда	
остатки этого городища сохранились до наших дней	когда	
синод будет заседать в течение трех дней	когда	
операция длилась несколько секунд	когда	
организаторы фестиваля планируют проводить его каждый год	когда	
после празднования дня села заболело 7 человек	когда	
продолжительность проекта - 4 месяца	когда	
как планируется , акция продлится 7 дней	когда	
за пять лет планируется ликвидировать безработицу	когда	
срок окупаемости проекта - 75 месяцев	когда	
этот вопрос значится в повестке дня заседания	когда	
священник голодает уже около месяца	когда	
на все работы саперам понадобилось три часа	когда	
комбинированный проездной на три месяца не предусматривается	когда	
соглашение должно действовать 5 лет	когда	
совещание длилось почти 5 часов	когда	
проверь прогноз погоды на завтра	когда	на завтра
какая погода будет завтра в москве	когда	завтра
а послезавтра в саратове какая погода будет	когда	послезавтра
известно ли , какая погода будет завтра	когда	завтра
ладно , посмотри , какая погода будет завтра	когда	завтра
какая будет погода завтра	когда	завтра
интересно , какая сегодня будет погода	когда	сегодня
хотелось бы узнать , что за погода будет завтра и послезавтра	когда	завтра и послезавтра
не мог бы ты посмотреть , какая погода завтра будет	когда	завтра
будь другом , посмотри , какая погода сегодня вечером ожидается	когда	сегодня вечером
я бы хотел узнать , как завтра будет погода	когда	завтра
меня интересует , какая погода будет ближайшие два дня	когда	ближайшие два дня
мне хочется знать , в ближайшие дни какая погода ожидается	когда	в ближайшие дни
а какая погодка будет в ближайшую неделю , скажи пожалуйста	когда	в ближайшую неделю
а что у нас с погодой вечером	когда	вечером
погода какая ожидается вечером после 6	когда	вечером после 6
какая будет погода в районе 8 часов вечера	когда	в районе 8 часов вечера
сегодня и в следующие 2 дня какая будет погода	когда	сегодня и в следующие 2 дня
какая погода будет 1 сентября	когда	1 сентября
31 января какая погода ожидается	когда	31 января
какая погода ожидается на выходных	когда	на выходных
какая погода будет в предстоящие праздники	когда	в предстоящие праздники
хорошая ли погода будет на эти выходные	когда	на эти выходные
покажи погоду с 3 января	когда	с 3 января
расскажи мне погоду на завтра и последующие пару дней	когда	на завтра и последующие пару дней
какая погода ожидается 12 сентября	когда	12 сентября
на 5 августа посмотри погоду в сочи	когда	на 5 августа
проверь насчет погоды в анапе с 10 мая	когда	с 10 мая
что в плане погоды нас ждет завтра днем	когда	завтра днем
неужели завтрашний день обещает быть таким же погожим	когда	завтрашний
завтра дождя случайно не предвидится	когда	завтра
что там с прогнозом на субботу , будет ли дождь или солнечно	когда	на субботу
завтра потеплеет	когда	завтра
давай - ка взглянем на прогноз погоды на 15 ноября	когда	на 15 ноября
следующее пленарное заседание назначено на 8 февраля	когда	на 8 февраля
очередная встреча намечена на конец февраля	когда	на конец февраля
в понедельник прошло еженедельное совещание в мэрии	когда	в понедельник
случилось это в 1995 году	когда	в 1995 году
ночью 9 июля были совершены две кражи	когда	ночью 9 июля
через пять дней вымогатель получает требуемую сумму	когда	через пять дней
через год у них появился мальчик	когда	через год
все решится в ближайшие несколько дней	когда	в ближайшие несколько дней
первые бомбы упали 4 марта	когда	4 марта
в действительности он родился 15 января	когда	15 января
решение вступает в силу 15 сентября	когда	15 сентября
голосование состоялось 19 декабря	когда	19 декабря
обоих обвинили еще в 1995 году	когда	в 1995 году
они предприняли этот шаг 5 декабря	когда	5 декабря
позднее акция была перенесена на 7 февраля	когда	на 7 февраля
первый спектакль здесь состоялся 2 декабря 1874 года	когда	2 декабря 1874 года
народный банк создан в 1991 году	когда	в 1991 году
погибший был найден в этот же день	когда	в этот же день
с 9 сентября там начались расстрелы евреев	когда	с 9 сентября
конференция завершит работу 3 марта	когда	3 марта
работы планируется начать в первой декаде апреля	когда	в первой декаде апреля
папе римскому через месяц исполняется 8 года	когда	через месяц
похороны королевы - матери состоятся 9 апреля	когда	9 апреля
в пятницу торговля нефтепродуктами практически не осуществлялась	когда	в пятницу
он был задержан в апреле 1993 года	когда	в апреле 1993 года
визит фрегата продлится до 5 июня	когда	до 5 июня
визит ожидается в октябре текущего года	когда	в октябре текущего года
результаты голосования станут известны дней через десять	когда	дней через десять
об этом сообщил в пятницу представитель музыканта	когда	в пятницу
их отправка намечена на 15 августа	когда	на 15 августа
весной прошлого года строительство крейсера было возобновлено	когда	весной прошлого года
на сегодняшний день обстановка благополучная	когда	на сегодняшний день
выборы главы государства назначены на 31 октября	когда	на 31 октября
сергей был госпитализирован в минувшую пятницу	когда	в минувшую пятницу
еще два вертолета прилетели во вторник	когда	во вторник
этот праздник ежегодно отмечается 1 октября	когда	1 октября
впервые она была издана в 1999 году	когда	в 1999 году
день учителя отмечается в первое воскресенье октября	когда	в первое воскресенье октября
финал соревнований состоится 3 декабря	когда	3 декабря
его строительство началось в 1973 году	когда	в 1973 году
остальные будут отправлены в пятницу	когда	в пятницу
линия работает с 4 января	когда	с 4 января
как ожидается , голосование состоится 11 января	когда	11 января
развертывание миротворцев завершится к середине февраля	когда	к середине февраля
межпартийный съезд блока состоится 1 января	когда	1 января
санкции должны вступить в силу 3 января	когда	3 января
в прошлом году аналогичный иск был отклонен	когда	в прошлом году
соглашение было ратифицировано парламентом 18 января	когда	18 января
работники образования бастовали с 8 декабря	когда	с 8 декабря
второе заседание ассамблеи планируется на конец марта	когда	на конец марта
прием заявок завершается 13 марта	когда	13 марта
первый запуск намечен на июль этого года	когда	на июль этого года
во вторник в регионе наблюдались небольшие осадки	когда	во вторник
работа миссии продлится до 15 апреля	когда	до 15 апреля
трагедия якобы произошла 8 апреля	когда	8 апреля
перепись населения завершилась в воскресенье	когда	в воскресенье
в понедельник акция прошла без инцидентов	когда	в понедельник
во вторник работы продолжатся	когда	во вторник
лодка перевернулась еще 8 апреля	когда	8 апреля
отчет правительства в парламенте пройдет 17 апреля	когда	17 апреля
нашему янтарю 14 августа исполнится 14 лет	когда	14 августа
семинар продлится до 11 мая	когда	до 11 мая
в пятницу снижение курса было более существенным	когда	в пятницу
конкурсы должны состоятся в конце июня	когда	в конце июня
визит военных из германии завершается в пятницу	когда	в пятницу
в четверг начала забастовку шахта	когда	в четверг
в одесской области работы завершены 8 июля	когда	8 июля
верфь была построена в 1949 году	когда	в 1949 году
официальное открытие учений состоится 14 июля	когда	14 июля
родился в 1954 году	когда	в 1954 году
весной нынешнего года начались первые выплаты	когда	весной нынешнего года
в ночь на пятницу утечка нефтепродукта прекращена	когда	в ночь на пятницу
находка была сделана в четверг вечером	когда	в четверг вечером
день строителя отмечается 1 августа	когда	1 августа
вахта космонавтов завершится в конце августа	когда	в конце августа
в понедельник они возвратились домой	когда	в понедельник
выборы президента состоятся 31 октября 1999 года	когда	31 октября 1999 года
суд назначен на 3 сентября 1998 года	когда	3 сентября 1998 года
визит турецких военных моряков завершится 14 сентября	когда	14 сентября
торги завершились поздно вечером во вторник	когда	вечером во вторник
последний срок регистрации - 14 октября	когда	14 октября
окончание строительства - декабрь 1 года	когда	декабрь 1 года
окончание строительства - февраль 3 года	когда	февраль 3 года
итоги конкурса предполагается подвести 15 октября	когда	15 октября
визит состоялся в начале октября	когда	в начале октября
детей нашли только во вторник утром	когда	во вторник утром
об этом в четверг сообщает местное радио	когда	в четверг
заседание в пятницу проходит в спокойной обстановке	когда	в пятницу
официально зарегистрирована в 1993 году	когда	в 1993 году
во вторник в парламенте пройдет день правительства	когда	во вторник
строительство станции началось в 1973 году	когда	в 1973 году
заседание апелляционной комиссии состоится ориентировочно 17 февраля	когда	17 февраля
первая состоялась в феврале прошлого года	когда	в феврале прошлого года
конкурс состоится через 4 дней	когда	через 4 дней
конференция пройдет с 11 по 1 февраля	когда	с 11 по 1 февраля
в этом году произошли две крупные трагедии	когда	в этом году
валютный рынок в воскресенье был малоактивен	когда	в воскресенье
такое заявление распространило британское правительство в понедельник	когда	в понедельник
родители оставили в воскресенье детей без присмотра	когда	в воскресенье
обсуждение продолжится на вечернем заседании во вторник	когда	во вторник
во вторник движение автобуса восстановлено	когда	во вторник
подготовка к параду началась тут 15 июня	когда	15 июня
переговоры начнутся 1 июля	когда	1 июля
их вахта завершится в конце августа	когда	в конце августа
новый бюллетень будет опубликован 14 августа	когда	14 августа
бои продолжались днем в субботу	когда	в субботу
предполагается завершить ремонтные работы 14 сентября	когда	14 сентября
первые заболевшие зарегистрированы 4 июля	когда	4 июля
на пятницу запланировано рассмотрение ряда экономических законопроектов	когда	на пятницу
во вторник миссия посетит министерство финансов	когда	во вторник
он приходится на третий четверг ноября	когда	на третий четверг ноября
в конце сентября финансирование было приостановлено	когда	в конце сентября
